Anonymous,Post Number,Folders,Created At,Submission,Submission HTML Removed,Subject,Part of Post,Endorsed by Instructor,UserID
no,7,logistics,2022-07-14 21:21:59 UTC,"when i currently try to download the matlab coursebook, it says the file is locked. could this please be unlocked?","when i currently try to download the matlab coursebook, it says the file is locked. could this please be unlocked?",coursebook unlock,started_off_question,False,kzlvqb7sce776q
no,7,logistics,2022-07-14 21:34:58 UTC,Seems to be unblocked now. Try again?,Seems to be unblocked now. Try again?,coursebook unlock,started_off_i_answer,True,i6q23gcekfm15v
no,7,logistics,2022-07-14 21:35:43 UTC,<p>I just unlocked it a couple of minutes back.</p>,I just unlocked it a couple of minutes back.,coursebook unlock,followup,,gooyf9nn3PO
no,486,lab5,2022-08-17 06:09:59 UTC,"<p>When I am testing I had this error.</p>
<p>How can I fix it?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl01f7dq61721zx%2F283e28fa4b753650397d9d3c389e9be7e2940bff21a810495ed7bf937cbae6cb%2Fimage.png"" alt=""image.png"" /></p>","When I am testing I had this error.
How can I fix it?
",Lab 5.5,updated_question,False,i6q23gcekfm15v
no,486,lab5,2022-08-17 06:08:58 UTC,"<p>When I am testing I had this error.</p>
<p>How can I fix it?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl01f7dq61721zx%2F283e28fa4b753650397d9d3c389e9be7e2940bff21a810495ed7bf937cbae6cb%2Fimage.png"" alt=""image.png"" /></p>","When I am testing I had this error.
How can I fix it?
",Lab 5.5,updated_question,False,i6q23gcekfm15v
stud,486,lab5,2022-08-17 05:03:48 UTC,"<p>When I am testing I had this error.</p>
<p>How can I fix it?</p>
<p><img src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl01f7dq61721zx%2F283e28fa4b753650397d9d3c389e9be7e2940bff21a810495ed7bf937cbae6cb%2Fimage.png"" alt=""image.png"" /></p>","When I am testing I had this error.
How can I fix it?
",Lab 5.5,started_off_question,False,l01f7dq61721zx
no,486,lab5,2022-08-17 06:37:50 UTC,"<p>As KW would say:</p>
<p></p>
<p>&#34;we cannot help you to debug, which is an important aspect of this course.&#34;</p>
<p></p>
<p></p>
<p><strong>KW adds:</strong> Yes :)</p>
<p></p>
<p>But I&#39;m feeling a bit nicer today (after having processed a relatively large number of last-minute extension requests), so I shall give a bit of hint. Use Google and search for any key phrases that you do not understand. Remember to include &#34;MATLAB&#34; in your search as well... </p>","As KW would say:

""we cannot help you to debug, which is an important aspect of this course.""


KW adds: Yes :)

But I'm feeling a bit nicer today (after having processed a relatively large number of last-minute extension requests), so I shall give a bit of hint. Use Google and search for any key phrases that you do not understand. Remember to include ""MATLAB"" in your search as well... ",Lab 5.5,updated_i_answer,False,l01f6628pmr4ce
no,486,lab5,2022-08-17 06:09:09 UTC,"<p>As KW would say:</p>
<p></p>
<p>&#34;we cannot help you to debug, which is an important aspect of this course.&#34;</p>
<p></p>","As KW would say:

""we cannot help you to debug, which is an important aspect of this course.""
",Lab 5.5,updated_i_answer,False,i6q23gcekfm15v
no,486,lab5,2022-08-17 06:07:58 UTC,"<p>As KW would say:</p>
<p></p>
<p>&#34;we cannot help you to debug, which is an important aspect of this course.&#34;</p>
<p></p>
<p>(Post Locked).</p>","As KW would say:

""we cannot help you to debug, which is an important aspect of this course.""

(Post Locked).",Lab 5.5,started_off_i_answer,False,i6q23gcekfm15v
no,1477,c_project,2022-10-13 21:10:41 UTC,<p>.</p>,.,Can you put an if statement inside another if statement?,started_off_question,False,l57brenyyxk7g6
